"epoch","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MAX","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MAX","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MAX","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX"
"0","0.5","0","1","0.033930135890841484","0.02748226746916771","0.04037800431251526","0.5","0","1","0.06330605410039425","0.0476190485060215","0.078993059694767","0.5","0","1","0.025921659544110298","0.016129031777381897","0.0357142873108387","0.5","0","1","0.023284845985472202","0.01595744676887989","0.030612245202064514","0.5","0","1","0.16135048121213913","0.15690235793590546","0.1657986044883728","0.5","0","1","0.29235394299030304","0.2680412232875824","0.3166666626930237","0.5","0","1","0.012854610104113817","0.007978723384439945","0.01773049682378769","0.5","0","1","0.02380557358264923","0.022163119167089462","0.025448027998209","0.5","0","1","0.01948488363996148","0.0021276595070958138","0.03684210777282715"
"1","3.5","3","4","0.04136674664914608","0.0394345261156559","0.04329896718263626","3.5","3","4","0.08286667242646217","0.08075601607561111","0.08497732877731323","3.5","3","4","0.03534931130707264","0.02754386141896248","0.0431547611951828","3.5","3","4","0.06785744987428188","0.06105324253439903","0.07466165721416473","3.5","3","4","0.29409709572792053","0.25017184019088745","0.3380223512649536","3.5","3","4","0.4058641940355301","0.3505050539970398","0.4612233340740204","3.5","3","4","0.030912735499441624","0.03079710341989994","0.031028367578983307","3.5","3","4","0.02241365984082222","0.021276595070958138","0.023550724610686302","3.5","3","4","0.051236558705568314","0.04333333298563957","0.059139784425497055"
"2","6.5","6","7","0.04302150942385197","0.035688407719135284","0.05035461112856865","6.5","6","7","0.0938505157828331","0.09052380919456482","0.09717722237110138","6.5","6","7","0.03529497981071472","0.025724638253450394","0.04486532136797905","6.5","6","7","0.056079331785440445","0.05481099337339401","0.05734767019748688","6.5","6","7","0.3209977522492409","0.22118057310581207","0.4208149313926697","6.5","6","7","0.4687506854534149","0.3698245882987976","0.5676767826080322","6.5","6","7","0.037285951897501945","0.03079710155725479","0.0437748022377491","6.5","6","7","0.02327357977628708","0.01931818202137947","0.027228977531194687","6.5","6","7","0.05776052363216877","0.03974359109997749","0.07577745616436005"
"3","9.5","9","10","0.04548169672489166","0.034511782228946686","0.05645161122083664","9.5","9","10","0.1221030093729496","0.11604761332273483","0.12815840542316437","9.5","9","10","0.04911284148693085","0.04353741556406021","0.05468826740980148","9.5","9","10","0.07103882357478142","0.06263158470392227","0.07944606244564056","9.5","9","10","0.4456469565629959","0.4257335364818573","0.4655603766441345","9.5","9","10","0.5759941041469574","0.5541236996650696","0.5978645086288452","9.5","9","10","0.08515637740492821","0.07733029127120972","0.0929824635386467","9.5","9","10","0.036664800718426704","0.02368421107530594","0.04964539036154747","9.5","9","10","0.09555719047784805","0.08006872236728668","0.11104565858840942"
"4","12.5","12","13","0.03732993267476559","0.031802721321582794","0.04285714402794838","12.5","12","13","0.1512131616473198","0.11565656960010529","0.1867697536945343","12.5","12","13","0.08827239647507668","0.08418367803096771","0.09236111491918564","12.5","12","13","0.05982094258069992","0.05263157933950424","0.0670103058218956","12.5","12","13","0.4833422005176544","0.46753472089767456","0.4991496801376343","12.5","12","13","0.5810374319553375","0.54200679063797","0.6200680732727051","12.5","12","13","0.07806131429970264","0.04208754375576973","0.11403508484363556","12.5","12","13","0.048811545595526695","0.04385964944958687","0.05376344174146652","12.5","12","13","0.12508417665958405","0.10505050420761108","0.145117849111557"
"5","15.5","15","16","0.05216900072991848","0.039837997406721115","0.06450000405311584","15.5","15","16","0.2156953290104866","0.18262876570224762","0.24876189231872559","15.5","15","16","0.08553377166390419","0.07956754416227341","0.09149999916553497","15.5","15","16","0.1358281821012497","0.11632302403450012","0.15533334016799927","15.5","15","16","0.6023015975952148","0.5781745910644531","0.6264286041259766","15.5","15","16","0.6613573729991913","0.6603338122367859","0.6623809337615967","15.5","15","16","0.11173641309142113","0.1071428582072258","0.11632996797561646","15.5","15","16","0.06347206607460976","0.04781954735517502","0.0791245847940445","15.5","15","16","0.15894291549921036","0.13476677238941193","0.1831190586090088"
"6","18.5","18","19","0.07812567055225372","0.06870748102664948","0.08754386007785797","18.5","18","19","0.2565879672765732","0.24191918969154358","0.2712567448616028","18.5","18","19","0.1368126943707466","0.11217758059501648","0.16144780814647675","18.5","18","19","0.22640912234783173","0.1787414848804474","0.27407675981521606","18.5","18","19","0.5607469081878662","0.5563896894454956","0.5651041269302368","18.5","18","19","0.6765141189098358","0.672517716884613","0.6805105209350586","18.5","18","19","0.16597376763820648","0.1505645513534546","0.18138298392295837","18.5","18","19","0.09359459578990936","0.08187004923820496","0.10531914234161377","18.5","18","19","0.20316211134195328","0.19627660512924194","0.2100476175546646"
"7","21.5","21","22","0.11412730813026428","0.08292031288146973","0.14533430337905884","21.5","21","22","0.3138316124677658","0.2910652756690979","0.3365979492664337","21.5","21","22","0.1857975646853447","0.16003401577472687","0.21156111359596252","21.5","21","22","0.2504189610481262","0.23140934109687805","0.2694285809993744","21.5","21","22","0.6433881223201752","0.6406948566436768","0.6460813879966736","21.5","21","22","0.6723613142967224","0.6707903742790222","0.6739322543144226","21.5","21","22","0.18436983972787857","0.18237604200839996","0.18636363744735718","21.5","21","22","0.14275996387004852","0.13350340723991394","0.1520165205001831","21.5","21","22","0.22201360762119293","0.19623810052871704","0.24778911471366882"
"8","24.5","24","25","0.11214354261755943","0.10319864749908447","0.1210884377360344","24.5","24","25","0.37550215423107147","0.3681972622871399","0.38280704617500305","24.5","24","25","0.22696901112794876","0.21993127465248108","0.23400674760341644","24.5","24","25","0.24707990884780884","0.2109965682029724","0.28316324949264526","24.5","24","25","0.623879611492157","0.6159722805023193","0.6317869424819946","24.5","24","25","0.6663325726985931","0.662807047367096","0.6698580980300903","24.5","24","25","0.22085123509168625","0.21323023736476898","0.22847223281860352","24.5","24","25","0.17977162450551987","0.16718213260173798","0.19236111640930176","24.5","24","25","0.27701979875564575","0.2751736044883728","0.2788659930229187"
"9","27.5","27","28","0.1723984256386757","0.15399999916553497","0.1907968521118164","27.5","27","28","0.41822563111782074","0.4127551019191742","0.4236961603164673","27.5","27","28","0.2628117799758911","0.2590135931968689","0.26660996675491333","27.5","27","28","0.3483658879995346","0.3286195397377014","0.3681122362613678","27.5","27","28","0.6377479434013367","0.6291522979736328","0.6463435888290405","27.5","27","28","0.6938791871070862","0.6907407641410828","0.6970176100730896","27.5","27","28","0.2542051002383232","0.22849999368190765","0.27991020679473877","27.5","27","28","0.2590530216693878","0.24347078800201416","0.2746352553367615","27.5","27","28","0.29303407669067383","0.2819865345954895","0.30408161878585815"
