"epoch","resnext50-face-d512-tau50.0-epoch200-lr0.1 - _step","resnext50-face-d512-tau50.0-epoch200-lr0.1 - _step__MIN","resnext50-face-d512-tau50.0-epoch200-lr0.1 - _step__MAX","resnext50-face-d512-tau50.0-epoch200-lr0.1 - acc/train","resnext50-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MIN","resnext50-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MAX","densenet121-face-d512-tau50.0-epoch200-lr0.1 - _step","densenet121-face-d512-tau50.0-epoch200-lr0.1 - _step__MIN","densenet121-face-d512-tau50.0-epoch200-lr0.1 - _step__MAX","densenet121-face-d512-tau50.0-epoch200-lr0.1 - acc/train","densenet121-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MIN","densenet121-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MAX","resnet18-face-d512-tau50.0-epoch200-lr0.1 - _step","resnet18-face-d512-tau50.0-epoch200-lr0.1 - _step__MIN","resnet18-face-d512-tau50.0-epoch200-lr0.1 - _step__MAX","resnet18-face-d512-tau50.0-epoch200-lr0.1 - acc/train","resnet18-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MIN","resnet18-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MAX"
"0","9.5","0","19","0","0","0","9.5","0","19","0.00034583075903356076","0","0.0039840638637542725","4.5","0","9","0.006905157468281686","0","0.036363635212183"
"1","30.5","21","40","0.0005487624439410865","0","0.003968254197388887","30.5","21","40","0.022251891996711494","0","0.04845815151929855","15.5","11","20","0.10273282043635845","0.039443157613277435","0.1623774617910385"
"2","51.5","42","61","0.018799570517148822","0","0.05995475500822067","51.5","42","61","0.1223893104121089","0.055066075176000595","0.185960590839386","26.5","22","31","0.2702182441949844","0.1885143518447876","0.337290495634079"
"3","72.5","63","82","0.13606708832085132","0.042951539158821106","0.22081218659877777","72.5","63","82","0.2926847837865353","0.21375000476837158","0.3618784546852112","37.5","33","42","0.4004969418048859","0.3391854166984558","0.4472510814666748"
"4","93.5","84","103","0.31139243990182874","0.23918575048446655","0.39650148153305054","93.5","84","103","0.4373823255300522","0.3663911819458008","0.5151515007019043","48.5","44","53","0.513776695728302","0.4760432541370392","0.5412044525146484"
"5","114.5","105","124","0.43520388603210447","0.34256696701049805","0.5183486938476562","114.5","105","124","0.5136720612645149","0.437317818403244","0.5785256624221802","59.5","55","64","0.5847518980503082","0.569444477558136","0.6024590134620667"
"6","135.5","126","145","0.5078180387616158","0.4376811981201172","0.5776699185371399","135.5","126","145","0.5667385488748551","0.5","0.6258278489112854","70.5","66","75","0.6178800106048584","0.5823723077774048","0.6658120155334473"
"7","156.5","147","166","0.5638751447200775","0.5170278549194336","0.6196721196174622","156.5","147","166","0.6156949043273926","0.5122699737548828","0.7103448510169983","81.5","77","86","0.6486931681632996","0.6212624907493591","0.6807958483695984"
"8","177.5","168","187","0.5921387612819672","0.5293209552764893","0.6843003034591675","177.5","168","187","0.6334633827209473","0.5772870779037476","0.7231833934783936","92.5","88","97","0.6860696256160737","0.6428571939468384","0.7280701994895935"
"9","198.5","189","208","0.6192775160074234","0.5617088675498962","0.6751700639724731","198.5","189","208","0.6513115853071213","0.6091204881668091","0.7017241716384888","103.5","99","108","0.7094612717628479","0.6411564350128174","0.757957935333252"
"10","219.5","210","229","0.6241377264261245","0.5438871383666992","0.701030969619751","219.5","210","229","0.6734559416770936","0.6209151148796082","0.7412587404251099","114.5","110","119","0.6973404169082642","0.6100000143051147","0.7374100685119629"
"11","240.5","231","250","0.6531446039676666","0.5889967679977417","0.7607914209365845","240.5","231","250","0.6834280610084533","0.5803858041763306","0.7333333492279053","125.5","121","130","0.7350200951099396","0.6917687654495239","0.7994505763053894"
"12","261.5","252","271","0.659448915719986","0.6038960814476013","0.7061855792999268","261.5","252","271","0.7010309100151062","0.6155115365982056","0.7699275016784668","136.5","132","141","0.7443819940090179","0.7020905613899231","0.8138888478279114"
"13","282.5","273","292","0.6913408786058426","0.6155115365982056","0.7777777910232544","282.5","273","292","0.7236201733350753","0.6700680255889893","0.8235294222831726","147.5","143","152","0.7614363670349121","0.7357650995254517","0.8227611780166626"
"14","303.5","294","313","0.6883082002401352","0.5782747268676758","0.7978339195251465","303.5","294","313","0.7081654101610184","0.6266447305679321","0.8109090328216553","158.5","154","163","0.7456944227218628","0.6858974695205688","0.8058608770370483"
"15","324.5","315","334","0.7070041030645371","0.6471571922302246","0.7833935022354126","324.5","315","334","0.7203149288892746","0.6233552694320679","0.8180147409439087","169.5","165","174","0.7632596671581269","0.6998255252838135","0.8031716346740723"
"16","345.5","336","355","0.7410086572170258","0.6279070377349854","0.8131868839263916","345.5","336","355","0.7532567381858826","0.6797945499420166","0.8396226167678833","180.5","176","185","0.775428581237793","0.7038664817810059","0.8472485542297363"
"17","366.5","357","376","0.7126985043287277","0.6387959718704224","0.8228782415390015","366.5","357","376","0.7463382095098495","0.6779661178588867","0.8358209133148193","191.5","187","196","0.7743468821048737","0.7292035222053528","0.8540489673614502"
"18","387.5","378","397","0.719226422905922","0.6433333158493042","0.7904411554336548","387.5","378","397","0.7328617662191391","0.6488294005393982","0.8025829792022705","202.5","198","207","0.7940063893795013","0.7410072088241577","0.8383743166923523"
"19","408.5","399","418","0.729996719956398","0.6866438388824463","0.7854545712471008","408.5","399","418","0.7555560618638992","0.6785714626312256","0.8401486873626709","213.5","209","218","0.7797784984111786","0.7218267917633057","0.8238636255264282"
"20","429.5","420","439","0.7263376414775848","0.6610738039016724","0.8088235855102539","429.5","420","439","0.7460085839033127","0.6689189672470093","0.8228783011436462","224.5","220","229","0.7850661158561707","0.7576301693916321","0.8355018496513367"
"21","450.5","441","460","0.7479254692792893","0.6832191944122314","0.8076924085617065","450.5","441","460","0.7560628712177276","0.7027491331100464","0.819343090057373","235.5","231","240","0.8005930244922638","0.7704918384552002","0.8424528241157532"
"22","471.5","462","481","0.7396015644073486","0.644295334815979","0.8205128908157349","471.5","462","481","0.765402901172638","0.6734694242477417","0.8494423627853394","246.5","242","251","0.8003216862678528","0.7280858755111694","0.8638094663619995"
"23","492.5","483","502","0.7632162809371948","0.7027491331100464","0.875","492.5","483","502","0.7670084446668625","0.639261782169342","0.8507462739944458","257.5","253","262","0.813460248708725","0.7849364876747131","0.8409523963928223"
"24","513.5","504","523","0.7610877215862274","0.6860067844390869","0.8308550119400024","513.5","504","523","0.7790911704301834","0.7212543487548828","0.8517110347747803","268.5","264","273","0.8118937373161316","0.7272727489471436","0.8690248727798462"
"25","534.5","525","544","0.7575486809015274","0.7027491331100464","0.8433962464332581","534.5","525","544","0.7698249667882919","0.7058823704719543","0.8253676891326904","279.5","275","284","0.8079459130764007","0.7621622085571289","0.8699029684066772"
"26","555.5","546","565","0.7692723095417022","0.6694915294647217","0.8893129825592041","555.5","546","565","0.7753706753253937","0.6734693646430969","0.8783270120620728","290.5","286","295","0.818019551038742","0.7671480178833008","0.8822394013404846"
"27","576.5","567","586","0.7692077487707139","0.676369845867157","0.8382352590560913","576.5","567","586","0.7847195833921432","0.7299652099609375","0.8541666865348816","301.5","297","306","0.8228618323802948","0.7536495923995972","0.8745939135551453"
"28","597.5","588","607","0.7619236737489701","0.7145328521728516","0.8247232437133789","597.5","588","607","0.7794169396162033","0.7185314297676086","0.8364312648773193","312.5","308","317","0.819905686378479","0.7754545211791992","0.8648648858070374"
"29","618.5","609","628","0.7722366511821747","0.7100694179534912","0.8308550119400024","618.5","609","628","0.7922857075929641","0.7152777910232544","0.8547170162200928","323.5","319","328","0.8269889771938324","0.7783783674240112","0.8565965294837952"
"30","639.5","630","649","0.7955508202314376","0.7241379022598267","0.8689138889312744","639.5","630","649","0.8053818285465241","0.6866438388824463","0.8636363744735718","334.5","330","339","0.8331115901470184","0.7815356254577637","0.874521017074585"
"31","660.5","651","670","0.7855549782514573","0.7160278558731079","0.8614231944084167","660.5","651","670","0.7983383119106293","0.7455830574035645","0.8935360908508301","345.5","341","350","0.8236848652362824","0.8032014966011047","0.8740384578704834"
"32","681.5","672","691","0.7946136116981506","0.7204861640930176","0.856603741645813","681.5","672","691","0.7827294170856476","0.6958762407302856","0.8515037298202515","356.5","352","361","0.8322937071323395","0.8009259104728699","0.8575525879859924"
"33","702.5","693","712","0.7790901452302933","0.6961805820465088","0.8579545617103577","702.5","693","712","0.7891518414020539","0.7239583730697632","0.8609021902084351","367.5","363","372","0.8290996134281159","0.7517921328544617","0.9027236700057983"
"34","723.5","714","733","0.8004411429166793","0.7137930989265442","0.8679245114326477","723.5","714","733","0.8018219470977783","0.6773649454116821","0.8988326787948608","378.5","374","383","0.8498663306236267","0.8066418766975403","0.8929960131645203"
"35","744.5","735","754","0.7930788725614548","0.7054794430732727","0.8560606241226196","744.5","735","754","0.8036175310611725","0.7231833934783936","0.8625954389572144","389.5","385","394","0.8385672450065613","0.7802198529243469","0.9066797494888306"
"36","765.5","756","775","0.7860162496566773","0.7222222089767456","0.8576779365539551","765.5","756","775","0.7836885005235672","0.709964394569397","0.8401486873626709","400.5","396","405","0.8442486941814422","0.8012821078300476","0.91846764087677"
"37","786.5","777","796","0.7976992160081864","0.6700680255889893","0.8807692527770996","786.5","777","796","0.8044571429491043","0.6965516805648804","0.8783270120620728","411.5","407","416","0.8536264479160309","0.7762681245803833","0.90234375"
"38","807.5","798","817","0.8040632426738739","0.7093425393104553","0.893129825592041","807.5","798","817","0.8135141044855118","0.7553191184997559","0.8679245710372925","422.5","418","427","0.847185081243515","0.8027522563934326","0.9029126763343811"
"39","828.5","819","838","0.8054582178592682","0.7220279574394226","0.9015443921089172","828.5","819","838","0.8089039236307144","0.7185314893722534","0.9069766998291016","433.5","429","438","0.8495917439460754","0.7934186458587646","0.9066147208213806"
"40","849.5","840","859","0.8107493579387665","0.7652329802513123","0.8679245710372925","849.5","840","859","0.8082535803318024","0.701724112033844","0.8859315514564514","444.5","440","449","0.8402449071407319","0.7821691632270813","0.8897485733032227"
"41","870.5","861","880","0.8009204268455505","0.7062937021255493","0.8660377264022827","870.5","861","880","0.8004925400018692","0.7200703620910645","0.8731061220169067","455.5","451","460","0.840718936920166","0.7888888120651245","0.8992248177528381"
"42","891.5","882","901","0.7981919884681702","0.7342657446861267","0.8622641563415527","891.5","882","901","0.7973138839006424","0.7128027677536011","0.8603773713111877","466.5","462","471","0.8494667053222656","0.8061224222183228","0.9037328362464905"
"43","912.5","903","922","0.7956575721502304","0.7044673562049866","0.8854961395263672","912.5","903","922","0.8137641072273254","0.7045454978942871","0.8893129825592041","477.5","473","482","0.8477547824382782","0.7974216938018799","0.9161792993545532"
"44","933.5","924","943","0.8134625673294067","0.7214533090591431","0.8961539268493652","933.5","924","943","0.8084812045097352","0.7473498582839966","0.8961538672447205","488.5","484","493","0.8553589761257172","0.80406653881073","0.9174852967262268"
"45","954.5","945","964","0.8108109056949615","0.6860067844390869","0.93359375","954.5","945","964","0.8110830157995224","0.7212543487548828","0.8869731426239014","499.5","495","504","0.8644173979759217","0.8295668363571167","0.8992094993591309"
"46","975.5","966","985","0.8059982299804688","0.7247386574745178","0.9147287607192993","975.5","966","985","0.8107429057359695","0.7210526466369629","0.8992248177528381","510.5","506","515","0.8680873930454254","0.8323916792869568","0.9090019464492798"
"47","996.5","987","1006","0.812026372551918","0.7376760244369507","0.8787878751754761","996.5","987","1006","0.8187573999166489","0.758865237236023","0.8783270120620728","521.5","517","526","0.8652314245700836","0.8317669034004211","0.9098039865493774"
"48","1017.5","1008","1027","0.8189802139997482","0.7464788556098938","0.8938223719596863","1017.5","1008","1027","0.8279146045446396","0.7996389865875244","0.8946359753608704","532.5","528","537","0.8662964463233948","0.8168225288391113","0.8959537744522095"
"49","1038.5","1029","1048","0.8168680042028427","0.6941580772399902","0.8965517282485962","1038.5","1029","1048","0.827037113904953","0.7491166591644287","0.8954372406005859","543.5","539","548","0.8513118386268616","0.8162313103675842","0.8887814283370972"
"50","1059.5","1050","1069","0.8330706804990768","0.7678571343421936","0.8812260627746582","1059.5","1050","1069","0.823109146952629","0.7561837434768677","0.8878327012062073","554.5","550","559","0.8623080790042877","0.7948244214057922","0.9423332810401917"
"51","1080.5","1071","1090","0.8172402411699295","0.7280701994895935","0.9003831148147583","1080.5","1071","1090","0.8217387735843659","0.7526501417160034","0.9045801758766174","565.5","561","570","0.8770238161087036","0.8424015045166016","0.9079999923706055"
"52","1101.5","1092","1111","0.8228221327066422","0.7535210847854614","0.8888888359069824","1101.5","1092","1111","0.8353047251701355","0.7473498582839966","0.8822393417358398","576.5","572","581","0.8678740620613098","0.8380682468414307","0.9230019450187683"
"53","1122.5","1113","1132","0.8175251513719559","0.7597864866256714","0.9096153974533081","1122.5","1113","1132","0.8288105934858322","0.7517729997634888","0.9147287011146545","587.5","583","592","0.8714055120944977","0.8383458852767944","0.9285715818405151"
"54","1143.5","1134","1153","0.820487517118454","0.7325174808502197","0.8797709941864014","1143.5","1134","1153","0.8214053839445115","0.7608695030212402","0.9089147448539734","598.5","594","603","0.8660842657089234","0.7809436321258545","0.9173227548599243"
"55","1164.5","1155","1174","0.8246339917182922","0.7464538812637329","0.93359375","1164.5","1155","1174","0.8263965517282486","0.7678571939468384","0.9073358774185181","609.5","605","614","0.8670528531074524","0.814018726348877","0.919607937335968"
"56","1185.5","1176","1195","0.8366245955228806","0.7724014520645142","0.8910256624221802","1185.5","1176","1195","0.8278615683317184","0.7464286088943481","0.889104962348938","620.5","616","625","0.8566644608974456","0.8182656764984131","0.9061265587806702"
"57","1206.5","1197","1216","0.8290493220090867","0.76241135597229","0.9003831148147583","1206.5","1197","1216","0.8310214519500733","0.7725632190704346","0.8759398460388184","631.5","627","636","0.8737887263298034","0.8171036243438721","0.9254472851753235"
"58","1227.5","1218","1237","0.8330822050571441","0.7491165995597839","0.9057692885398865","1227.5","1218","1237","0.8359038442373276","0.7877697944641113","0.8816794157028198","642.5","638","647","0.8794219315052032","0.8452157974243164","0.928290843963623"
"59","1248.5","1239","1258","0.8404747247695923","0.7919707894325256","0.8908045887947083","1248.5","1239","1258","0.8466009318828582","0.7561838030815125","0.9311023950576782","653.5","649","658","0.8700774729251861","0.8454894423484802","0.9186275601387024"
"60","1269.5","1260","1279","0.8278646469116211","0.7491228580474854","0.8988326191902161","1269.5","1260","1279","0.8363145351409912","0.7579505443572998","0.9073358774185181","664.5","660","669","0.8763043999671936","0.8401869535446167","0.9147059917449951"
"61","1290.5","1281","1300","0.8348849684000015","0.7589285969734192","0.9076923727989197","1290.5","1281","1300","0.8435665488243103","0.77224200963974","0.8931297659873962","675.5","671","680","0.8909059882164001","0.8501908779144287","0.9192606210708618"
"62","1311.5","1302","1321","0.8274453669786453","0.7670251131057739","0.9000000953674316","1311.5","1302","1321","0.8366983890533447","0.7771738767623901","0.9076923131942749","686.5","682","691","0.8812863171100617","0.8361904621124268","0.931952714920044"
"63","1332.5","1323","1342","0.8362965911626816","0.7659574747085571","0.9073358774185181","1332.5","1323","1342","0.8497315138578415","0.7833935022354126","0.9529412984848022","697.5","693","702","0.8838325023651123","0.8475379347801208","0.9236790537834167"
"64","1353.5","1344","1363","0.8260930210351944","0.7446808218955994","0.9019231796264648","1353.5","1344","1363","0.8418088972568512","0.7535460591316223","0.9153846502304077","708.5","704","713","0.8951438069343567","0.8718689680099487","0.9102563858032227"
"65","1374.5","1365","1384","0.8379580557346344","0.7508896589279175","0.921568751335144","1374.5","1365","1384","0.8509857296943665","0.7580071687698364","0.9173077344894409","719.5","715","724","0.8834429144859314","0.8498098850250244","0.9302788972854614"
"66","1395.5","1386","1405","0.8440690040588379","0.8102189302444458","0.8910505175590515","1395.5","1386","1405","0.8502003818750381","0.7660714983940125","0.9156863689422607","730.5","726","735","0.9006019413471222","0.8699808716773987","0.9220272898674011"
"67","1416.5","1407","1426","0.8436431288719177","0.7473684549331665","0.9007633924484253","1416.5","1407","1426","0.8603273779153824","0.8088235855102539","0.9682540893554688","741.5","737","746","0.891766369342804","0.8675624132156372","0.9130859375"
"68","1437.5","1428","1447","0.8483629107475281","0.7607142925262451","0.931640625","1437.5","1428","1447","0.8495237439870834","0.7761732935905457","0.9212597608566284","752.5","748","757","0.8852078914642334","0.8355387449264526","0.9201596975326538"
"69","1458.5","1449","1468","0.8512459576129914","0.7660714387893677","0.921875","1458.5","1449","1468","0.8607869863510131","0.7761732935905457","0.9319065809249878","763.5","759","768","0.8908761620521546","0.8305243849754333","0.9539999961853027"
"70","1479.5","1470","1489","0.846049913764","0.7535715103149414","0.9147286415100098","1479.5","1470","1489","0.8595795512199402","0.7597864270210266","0.9212598204612732","774.5","770","779","0.8988006889820099","0.8563326597213745","0.9362549781799316"
"71","1500.5","1491","1510","0.8450016647577285","0.7916666865348816","0.9299610257148743","1500.5","1491","1510","0.8511047959327698","0.7688171863555908","0.9114173650741577","785.5","781","790","0.9079806208610535","0.8761996030807495","0.9428858160972595"
"72","1521.5","1512","1531","0.8561399012804032","0.7660714387893677","0.9076923131942749","1521.5","1512","1531","0.8592484474182129","0.79347825050354","0.9163423776626587","796.5","792","801","0.9023958146572113","0.8468809127807617","0.9600798487663269"
"73","1542.5","1533","1552","0.8519793063402176","0.7789855003356934","0.9153846502304077","1542.5","1533","1552","0.8693805366754532","0.8127272129058838","0.9173228740692139","807.5","803","812","0.9148389339447022","0.8725868463516235","0.9481037855148315"
"74","1563.5","1554","1573","0.867578250169754","0.8113553524017334","0.9247103929519653","1563.5","1554","1573","0.8677787870168686","0.8029739260673523","0.9529412984848022","818.5","814","823","0.9015698790550232","0.8427494764328003","0.940119743347168"
"75","1584.5","1575","1594","0.8656320631504059","0.7733812928199768","0.953125","1584.5","1575","1594","0.8633339315652847","0.7978339195251465","0.9372550249099731","829.5","825","834","0.893100094795227","0.8623327016830444","0.9226192235946655"
"76","1605.5","1596","1615","0.8576531738042832","0.7725631594657898","0.92578125","1605.5","1596","1615","0.8671214789152145","0.774193525314331","0.9189189076423645","840.5","836","845","0.9012736439704895","0.8402255773544312","0.9488977789878845"
"77","1626.5","1617","1636","0.8620950192213058","0.785454511642456","0.9503969550132751","1626.5","1617","1636","0.8617875009775162","0.7941176891326904","0.9330708384513855","851.5","847","856","0.9021359443664551","0.8618042469024658","0.9425742626190186"
"78","1647.5","1638","1657","0.8549533098936081","0.7841726541519165","0.9241244792938232","1647.5","1638","1657","0.8646984815597534","0.7862318754196167","0.91796875","862.5","858","867","0.9110470473766327","0.8747609853744507","0.9555555582046509"
"79","1668.5","1659","1678","0.8640489012002945","0.7906137704849243","0.9271653890609741","1668.5","1659","1678","0.8792372167110443","0.7795699238777161","0.9450981616973877","873.5","869","878","0.9086078584194184","0.8537735939025879","0.9541833400726318"
"80","1689.5","1680","1699","0.8771588385105134","0.8198529481887817","0.92322838306427","1689.5","1680","1699","0.8672157526016235","0.7992700338363647","0.9153846502304077","884.5","880","889","0.9140674352645874","0.8812741041183472","0.9426559209823608"
"81","1710.5","1701","1720","0.8635655671358109","0.8102189302444458","0.9402390718460083","1710.5","1701","1720","0.8799825698137284","0.8259259462356567","0.9453125","895.5","891","900","0.9061861753463745","0.8658300638198853","0.9385080337524414"
"82","1731.5","1722","1741","0.8796277463436126","0.8185185194015503","0.9448818564414978","1731.5","1722","1741","0.8746215164661407","0.8148148059844971","0.9599999785423279","906.5","902","911","0.9114087522029877","0.8848368525505066","0.9510977864265442"
"83","1752.5","1743","1762","0.8250423595309258","0.4969511926174164","0.9563493728637695","1752.5","1743","1762","0.8866791546344757","0.8186813592910767","0.9681275486946106","917.5","913","922","0.9118149042129516","0.8636363744735718","0.9402390718460083"
"84","1773.5","1764","1783","0.8571437507867813","0.8018181324005127","0.919607937335968","1773.5","1764","1783","0.8715842485427856","0.7996389865875244","0.9379845261573792","928.5","924","933","0.9156928539276123","0.8516414165496826","0.9449902176856995"
"85","1794.5","1785","1804","0.8696329742670059","0.8014706373214722","0.9525692462921143","1794.5","1785","1804","0.879814726114273","0.8168498873710632","0.9411765933036804","939.5","935","944","0.9179814398288727","0.8733075857162476","0.9349112510681152"
"86","1815.5","1806","1825","0.8711803317070007","0.8036363124847412","0.9375","1815.5","1806","1825","0.8858945041894912","0.8047444820404053","0.9682540893554688","950.5","946","955","0.9112375736236572","0.8793436288833618","0.9521385431289673"
"87","1836.5","1827","1846","0.8617188930511475","0.7740213871002197","0.9080459475517273","1836.5","1827","1846","0.881670543551445","0.8247232437133789","0.9370078444480896","961.5","957","966","0.917683070898056","0.870936930179596","0.975708544254303"
"88","1857.5","1848","1867","0.8711487889289856","0.8036363124847412","0.9288538694381714","1857.5","1848","1867","0.8814669519662857","0.8131868839263916","0.9377431273460388","972.5","968","977","0.9267183184623718","0.8691861033439636","0.952755868434906"
