"epoch","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX"
"0","1.5","0","3","0.007835242082364857","0.006756756920367479","0.01034482754766941","1.5","0","3","0.009559639496728778","0","0.017123287543654442","1.5","0","3","0.006887856870889664","0","0.013793103396892548","0.5","0","1","0.012854610104113817","0.007978723384439945","0.01773049682378769","0.5","0","1","0.02380557358264923","0.022163119167089462","0.025448027998209","0.5","0","1","0.01948488363996148","0.0021276595070958138","0.03684210777282715"
"1","6.5","5","8","0.00979416270274669","0.006802720949053764","0.014541387557983398","6.5","5","8","0.03321972256526351","0.021258503198623657","0.05766870826482773","6.5","5","8","0.02197929541580379","0.011982571333646774","0.036538463085889816","3.5","3","4","0.030912735499441624","0.03079710341989994","0.031028367578983307","3.5","3","4","0.02241365984082222","0.021276595070958138","0.023550724610686302","3.5","3","4","0.051236558705568314","0.04333333298563957","0.059139784425497055"
"2","11.5","10","13","0.009498331928625703","0.0034246575087308884","0.014388489536941051","11.5","10","13","0.057933259755373","0.04898989945650101","0.07916666567325592","11.5","10","13","0.04396293871104717","0.039832282811403275","0.04956427216529846","6.5","6","7","0.037285951897501945","0.03079710155725479","0.0437748022377491","6.5","6","7","0.02327357977628708","0.01931818202137947","0.027228977531194687","6.5","6","7","0.05776052363216877","0.03974359109997749","0.07577745616436005"
"3","16.5","15","18","0.014141006511636078","0.0057870373129844666","0.027186762541532516","16.5","15","18","0.08859637193381786","0.0714285746216774","0.1154562383890152","16.5","15","18","0.07535161916166544","0.057453420013189316","0.10558712482452393","9.5","9","10","0.08515637740492821","0.07733029127120972","0.0929824635386467","9.5","9","10","0.036664800718426704","0.02368421107530594","0.04964539036154747","9.5","9","10","0.09555719047784805","0.08006872236728668","0.11104565858840942"
"4","21.5","20","23","0.018724511610344052","0.011904762126505375","0.02871621772646904","21.5","20","23","0.07582111097872257","0.07116104662418365","0.07992633432149887","21.5","20","23","0.09765328280627728","0.0841807872056961","0.12037037312984467","12.5","12","13","0.07806131429970264","0.04208754375576973","0.11403508484363556","12.5","12","13","0.048811545595526695","0.04385964944958687","0.05376344174146652","12.5","12","13","0.12508417665958405","0.10505050420761108","0.145117849111557"
"5","26.5","25","28","0.022840860299766064","0.01149425283074379","0.03376906365156174","26.5","25","28","0.13099005073308945","0.11395131051540375","0.14466291666030884","26.5","25","28","0.1236737072467804","0.08111754059791565","0.14917530119419098","15.5","15","16","0.11173641309142113","0.1071428582072258","0.11632996797561646","15.5","15","16","0.06347206607460976","0.04781954735517502","0.0791245847940445","15.5","15","16","0.15894291549921036","0.13476677238941193","0.1831190586090088"
"6","31.5","30","33","0.0454426733776927","0.01635991781949997","0.07598039507865906","31.5","30","33","0.1300188135355711","0.11864406615495682","0.13730621337890625","31.5","30","33","0.14912835136055946","0.14023669064044952","0.15792793035507202","18.5","18","19","0.16597376763820648","0.1505645513534546","0.18138298392295837","18.5","18","19","0.09359459578990936","0.08187004923820496","0.10531914234161377","18.5","18","19","0.20316211134195328","0.19627660512924194","0.2100476175546646"
"7","36.5","35","38","0.06399672850966454","0.03944773226976395","0.08999999612569809","36.5","35","38","0.12573983520269394","0.11126628518104553","0.1456928849220276","36.5","35","38","0.1409195326268673","0.10285714268684387","0.16775956749916077","21.5","21","22","0.18436983972787857","0.18237604200839996","0.18636363744735718","21.5","21","22","0.14275996387004852","0.13350340723991394","0.1520165205001831","21.5","21","22","0.22201360762119293","0.19623810052871704","0.24778911471366882"
"8","41.5","40","43","0.1371459625661373","0.09674330055713654","0.19103313982486725","41.5","40","43","0.16401342675089836","0.14726930856704712","0.18287038803100586","41.5","40","43","0.1599065288901329","0.12839147448539734","0.23050682246685028","24.5","24","25","0.22085123509168625","0.21323023736476898","0.22847223281860352","24.5","24","25","0.17977162450551987","0.16718213260173798","0.19236111640930176","24.5","24","25","0.27701979875564575","0.2751736044883728","0.2788659930229187"
"9","46.5","45","48","0.15803208947181702","0.10732176899909973","0.21224677562713623","46.5","45","48","0.17478535324335098","0.12988504767417908","0.21395131945610046","46.5","45","48","0.19289414957165718","0.15519607067108154","0.22392922639846802","27.5","27","28","0.2542051002383232","0.22849999368190765","0.27991020679473877","27.5","27","28","0.2590530216693878","0.24347078800201416","0.2746352553367615","27.5","27","28","0.29303407669067383","0.2819865345954895","0.30408161878585815"
